timestamp,nodeId,nodeIdentifier,pitSize,pitOccupancy,cacheHitRatio,interestRate,dataRate,trustScore,rssi,delay,label
3.5,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.5,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,4,Node_4,4237312848,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
3.6,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,4,Node_4,4237312848,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
3.6,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,4,Node_4,4237312848,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
3.6,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.6,4,Node_4,4237312848,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
3.7,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,4,Node_4,4237312848,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
3.7,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.7,4,Node_4,4237312848,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
